get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get_date_range_employees,get_hierarchy_up,get_hierarchy_down
reason for {Jayne|name}'s {end of employment|employment_action}?,Inform me of the {cumulative|function} of employees who are {separated|maritaldesc}?,employees in their {40|sys_number}'s,{Ivan|name}'s {yearly|time_recur} {compensation|money},what is the {greatest|extreme} {incomes|money} that a {area sales manager|position} is {$|money},show me the {yearly|time_recur} {earnings|money} of {women|sex},Give me {Charles Bozzi|name}'s {termination|employment_action} date,Get me the {total|function} {num of|function} employees who {joined|employment_action} {before|date_compare} {2008|sys_time},{1990's|time_interval} {DOB|dob} {asian|racedesc} employees,"does {Marilyn Linares|name} have a {boss|manager} that she {is under|manager}, if so who is it?",does {Amy|name} have the role of being a {manager|manager}
What is {Alexandra Kirill|name}'s official {position|position} ?,{added up|function} {count|function} of {terminated|employment_action} employees that was due to {sexual harassment|reason_for_termination}?,Which employees have the {lowest|extreme} {performance score|performance_score}?,How much does {Richard|name} {earns|money} {month to month|time_recur}?,{average|function} {earnings|money} of {male|sex} in this org,{Admin Offices|department} {bottom|extreme} {16|sys_number}{percent|function} {earners|money} list,When was {Mike Guilianno|name} {born|dob}?,{total|function} {number of|function} of employees that {have worked here|employment_action} for {more than|comparator} {7 years|sys_duration}?,{women|sex} {born|dob} in the {60's|time_interval},"anyone {mentor|manager} of Ms. {Jackie Valentin|name}, if so who is that?",i want the name of everyone that is {is under|manager} Mr.{albert|name}
tell me what is the citizenship status for {Jennifer|name}'s,{How many|function} people are there {under|comparator} {30|sys_number}?,Which employee(s) {need improvement|performance_score} company's expectations?,{betsy Bondwell|name} {dollars|money} amt,Calculate the {percentage|function} {incomes|money} at the company,{software engineering|department} {earnings|money},The date was what when {Phil Close|name} {been here|employment_action} at the company,What {percentage|function} of employees were {hired|employment_action} {more than|comparator} {3 years|sys_duration} ago?,{1950's|time_interval} {born|dob} {men|sex},Whose {Richard Newman|name}s {management|manager} personnel?,is {Amy|name} a {manager|manager} in our company
who's {Ivan|name}?,{distribution|function} of employees that are {us citizen|citizendesc}?,list of {administrative assistant|position} staff,What are {Taylor|name}'s {paycheck|money} {by the year|time_recur}?,{salary|money} of {president & ceo|position} in the {WA|state}?,what are the {salaries|money} for {active|employment_status} employees,in what month was {Maryellen Jackson|name} {born|dob},{How many|function} employees were {born|dob} in the {2009|sys_time}?,get me all of the folks who were {born|dob} in the {eighties|time_interval},"What is the full, first and last, {manager name|manager} for the employee: {james Cockel|name}",which employees is {Brad Pitt|name} the {management|manager} employee for
Is Mr.{Cockel|name} {married|maritaldesc}?,Which office location has the {min|extreme} employees?,which staff work in {admin offices|department},What is {Susan Ferguson|name} {earners|money} on a {on a monthly basis|time_recur} basis?,{typical|function} {$|money} of employees that have {joined|employment_action} us,{African american|racedesc}  employees {salaries|money} listed,What year did {Hang Wolk|name} {end his employment|employment_action}?,"{hired|employment_action} in {California|state} in the {last|date_compare} {42 weeks|sys_duration}, get me the {total|function}",{divorced|maritaldesc} folks that had their employment {terminated|employment_action} in the {last year|sys_time},{libby fidelia|name} {reports to|manager} name?,which employees have a {management|manager} person that goes by the name {hamish garneau|name}
tell me about {George|name}'s {performance|performance_score},{ratio|function} of employees {married|maritaldesc}?,Which employees were found via {referrals|employee_source}?,{Nan Singh|name} {earning|money} amount {yearly|time_recur},{How many|function} employees {make|money} {6 figure|sys_number} {salaries|money}?,what are our {bottom|extreme} {earn|money} {earnings|money},{Jasmine Onque|name} {date of birth|dob},{count|function} of employees {terminated|employment_action} {prior to|date_compare} {2008|sys_time}?,"Which employees were {hired|employment_action} {after|date_compare} {Jan 1, 2019|sys_time}?",is {ivan|name}'s manager {julia|name}?,{Ivan singh|name} is the {manager|manager} of which employees
what {race|racedesc} is {nan|name},What {portion|function} of our employees that are still {single|maritaldesc}?,All employees from {California|state} state,What is {Brigit McCarthy|name} {earning|money},{ratio|function} of employees that {make|money} {45|sys_number} {hourly|time_recur}?,I want the {7|sys_number}{highest|extreme} {earner|money}s in the {executive office|department} department,How long has {Giovanni|name} been with the company?,{headcount|function} people who {have worked here|employment_action} for {less than|comparator} {7 years|sys_duration},Can you please tell me the employees that have already had thier {birthday|dob} {this year|sys_time},what's {Robyn manchester|name}'s {manager|manager} currently listed as in the system?,Tell who is {working under|manager} {Mr. Singh|name}
how did {Wilson Adinolfi|name} hear about this company?,What {percentage|function} of employees are {male|sex}?,workers that aren't {non-citizen|citizendesc},What is the {yearly|time_recur} {compensation|money} for {Nan|name} at Cisco?,"of the {shared services manager|position}s, give me the {max|extreme} {$|money}","get me the {salaries|money} of the people {working for|manager} the {manager|manager}, {ammy Dunn|name}",{Bianca Roehrich|name} {DOB|dob},What {percent|function} of all our employees were {hired|employment_action} {this year|sys_time}?,Which employees have been {start date|employment_action} {this month|date_compare}?,{leads|manager} of {Susan Ferguson|name},Find me employees list with {manager name|manager} being {Emil Pelech|name}
{abdellah|name}'s {position|position}  is what,Which office location has the {lowest|extreme} employees?,Which employees {exceed expectations|performance_score}?,{Jumil Turpin|name} {month to month|time_recur} {dollars|money},{$|money} {average|function} {sr. dba|position},who {makes|money} a {salary|money} {more than|comparator} {210k|sys_number}?,find me the official {start date|employment_action} of {Nan|name} at this company,{How many|function} people were based out of {Colarado|state} in the {last|date_compare} {3 years|sys_duration}?,any {august|sys_time} {born|dob}?,"does {elijian clukey|name} have a {boss|manager} that he {reports to|manager}, if so who is it?",Who is the lady or guy that {Colby Andreola|name} is {incharge|manager} of?
sex and {age of|age} {Melisa|name},What is the {percentage|function} of employees that {exceeds expectations|performance_score} on his or her {performance score|performance_score}?,Which employee(s) are {hispanic|racedesc}?,How much {earnings|money} does {anna von massenbach|name} {paycheck|money} from the organization {every week|time_recur}?,i want the {average|function} {salary|money} of {women|sex} in this organization,what are our {top|extreme} {earners|money} {making|money},whut is {Debbie|name}s {date of birth|dob}?,Tell me {proportion|function} of workers at the company that {more than|comparator} {4 yrs|sys_duration} ago {began employment|employment_action} here at the organization,{Jan|sys_time} {date of birth|dob} employees,Please do tell who is the {management|manager} person for {Smith|name},who is the person that is being {worked for|manager} for by {Bartholemew Khemmich|name}
What {race|racedesc} is {rick clayton|name}'s?,{combined|function} {count|function} of employees are {non citizen|citizendesc}?,{male|sex} employees,What is {Samuel MacLenivan|name} {income|money},give me the {average|function} take home {salary|money} for {Production Technicians|position},Tell me who all are getting an {income|money} {more than|comparator} {88k|sys_number},Can you please tell me how long has {april evensen|name} worked in the firm,"employees {born|dob} {before|date_compare} {1994|sys_time}, give me the {total|function} {count|function}",Which employees had their {end date|employment_action} {before|date_compare} {five years|sys_duration} from now?,tell me who the {manager|manager} is that is {managing|manager} Ms. {lindsay lynch|name},{Kissy SullMia|name} is the {mentor|manager} for which of our employees
